id,talent_id,talent_evaluation_competence_id,points,question_id,talent_answer_id,pending,question_category_id,,,,,,
193,2632,65,0,53,53,0,9,,,,,,
194,2632,65,0,66,66,0,12,,,,,,
195,2632,65,0,70,70,0,9,,,,,,
196,2633,66,0,48,48,0,12,,,,,,
197,2633,66,0,51,51,0,8,,,,,,
198,2633,66,0,52,52,0,8,,,,,,
199,2633,67,2,56,56,0,12,,,,,,
200,2633,67,2,50,50,0,8,,,,,,
201,2633,67,2,49,49,0,8,,,,,,
202,2633,68,2,68,68,0,12,,,,,,
203,2633,68,2,45,45,0,11,,,,,,
204,2633,68,2,44,44,0,8,,,,,,
205,2633,69,2,35,35,0,12,,,,,,
206,2633,69,2,37,37,0,9,,,,,,
207,2633,69,2,38,38,0,10,,,,,,
208,2633,70,0,53,53,0,9,,,,,,
209,2633,70,0,66,66,0,12,,,,,,
210,2633,70,0,70,70,0,9,,,,,,
211,2634,71,0,48,48,0,12,,,,,,
212,2634,71,0,51,51,0,8,,,,,,
213,2634,71,0,52,52,0,8,,,,,,
214,2634,72,0,56,56,0,12,,,,,,
215,2634,72,0,50,50,0,8,,,,,,
216,2634,72,0,49,49,0,8,,,,,,
217,2634,73,2,68,68,0,12,,,,,,
218,2634,73,2,45,45,0,11,,,,,,
219,2634,73,2,44,44,0,8,,,,,,
220,2634,74,2,35,35,0,12,,,,,,
221,2634,74,2,37,37,0,9,,,,,,
222,2634,74,2,38,38,0,10,,,,,,
223,2634,75,2,53,53,0,9,,,,,,
224,2634,75,2,66,66,0,12,,,,,,
225,2634,75,2,70,70,0,9,,,,,,
226,2635,76,2,48,48,0,12,,,,,,
227,2635,76,2,51,51,0,8,,,,,,
228,2635,76,2,52,52,0,8,,,,,,
229,2635,77,2,56,56,0,12,,,,,,
230,2635,77,2,50,50,0,8,,,,,,
231,2635,77,2,49,49,0,8,,,,,,
232,2635,78,0,68,68,0,12,,,,,,
233,2635,78,0,45,45,0,11,,,,,,
234,2635,78,0,44,44,0,8,,,,,,
235,2635,79,0,35,35,0,12,,,,,,
236,2635,79,0,37,37,0,9,,,,,,
237,2635,79,0,38,38,0,10,,,,,,
238,2635,80,2,53,53,0,9,,,,,,
239,2635,80,2,66,66,0,12,,,,,,
